device_brand,normalized_used_price
OnePlus,5.152165117272727
Apple,5.004552904564103
Google,4.885650815866667
Vivo,4.778146613623932
Oppo,4.755252389224807
Xiaomi,4.710580963015151
Honor,4.665257180905172
Huawei,4.654565823641435
Meizu,4.6221013068225805
Realme,4.5943164981951226
Sony,4.537850525302326
Asus,4.510720205959016
Samsung,4.46658956982698
Motorola,4.426132821981132
HTC,4.4149745372909095
Coolpad,4.399725802363636
Infinix,4.3912073549
Lenovo,4.379595547134503
ZTE,4.368095290921429
Gionee,4.330395076785714
BlackBerry,4.314155251863636
LG,4.296957855776119
Panasonic,4.218674782425532
Acer,4.217408147294117
Microsoft,4.205678681999999
Others,4.173466123191235
Alcatel,3.970264198512397
XOLO,3.9314985063265304
Nokia,3.911802158216981
Lava,3.854528921277778
Karbonn,3.7749560760689653
Micromax,3.7618555544786325
Spice,3.694512290033333
Celkon,3.2308883658181817
